-----------------------------------------------------
                Time	| Address	| Read/Write| data		|
-----------------------------------------------------
                  71	| 0000022b	| WRITE		| 00002710	| 
                  91	| 00000004	| WRITE		| 00007530	| 
                 111	| 00000001	| WRITE		| 00000000	| 
                 131	| 00000002	| WRITE		| 00004e20	| 
                 151	| 00000003	| WRITE		| 0000000a	| 
                 161	| 00000001	| WRITE		| 00000001	| 
                 191	| 00000002	| WRITE		| 00004e16	| 
                 421	| 00000001	| WRITE		| 000007d0	| 
                 441	| 00000002	| WRITE		| 00000000	| 
                 461	| 00000006	| WRITE		| 0000ead1	| 
                 471	| 00000007	| WRITE		| 00008ad1	| 
                 481	| 00000008	| WRITE		| 00001ad1	| 
                 491	| 00000009	| WRITE		| 00008ad3	| 
                 501	| 0000000a	| WRITE		| 00000e62	| 
                 511	| 0000000b	| WRITE		| 00009733	| 
                 521	| 0000000c	| WRITE		| 00000f26	| 
                 531	| 0000000d	| WRITE		| 0000dd68	| 
                 541	| 0000000e	| WRITE		| 00000f2a	| 
                 551	| 0000000f	| WRITE		| 00002753	| 
                 561	| 00000010	| WRITE		| 00001f22	| 
                 571	| 00000011	| WRITE		| 00009b63	| 
                 581	| 00000012	| WRITE		| 0000ee62	| 
                 591	| 00000013	| WRITE		| 00009934	| 
                 611	| 00000004	| WRITE		| 0000752f	| 
                 681	| 00000001	| WRITE		| 00000000	| 
                 701	| 00000002	| WRITE		| 00004e20	| 
                 721	| 00000003	| WRITE		| 0000000a	| 
                 731	| 00000001	| WRITE		| 00000001	| 
                 761	| 00000002	| WRITE		| 00004e16	| 
                 991	| 00000001	| WRITE		| 000007d0	| 
                1011	| 00000002	| WRITE		| 00000000	| 
                1031	| 00000006	| WRITE		| 0000ead2	| 
                1041	| 00000007	| WRITE		| 00008ad2	| 
                1051	| 00000008	| WRITE		| 00001ad2	| 
                1061	| 00000009	| WRITE		| 00008ad4	| 
                1071	| 0000000a	| WRITE		| 00000e63	| 
                1081	| 0000000b	| WRITE		| 00009734	| 
                1091	| 0000000c	| WRITE		| 00000f27	| 
                1101	| 0000000d	| WRITE		| 0000dd69	| 
                1111	| 0000000e	| WRITE		| 00000f2b	| 
                1121	| 0000000f	| WRITE		| 00002754	| 
                1131	| 00000010	| WRITE		| 00001f23	| 
                1141	| 00000011	| WRITE		| 00009b64	| 
                1151	| 00000012	| WRITE		| 0000ee63	| 
                1161	| 00000013	| WRITE		| 00009935	| 
                1181	| 00000004	| WRITE		| 0000752e	| 
                1251	| 00000001	| WRITE		| 00000000	| 
                1271	| 00000002	| WRITE		| 00004e20	| 
                1291	| 00000003	| WRITE		| 0000000a	| 
                1301	| 00000001	| WRITE		| 00000001	| 
                1331	| 00000002	| WRITE		| 00004e16	| 
                1561	| 00000001	| WRITE		| 000007d0	| 
                1581	| 00000002	| WRITE		| 00000000	| 
                1601	| 00000006	| WRITE		| 0000ead3	| 
                1611	| 00000007	| WRITE		| 00008ad3	| 
                1621	| 00000008	| WRITE		| 00001ad3	| 
                1631	| 00000009	| WRITE		| 00008ad5	| 
                1641	| 0000000a	| WRITE		| 00000e64	| 
                1651	| 0000000b	| WRITE		| 00009735	| 
                1661	| 0000000c	| WRITE		| 00000f28	| 
                1671	| 0000000d	| WRITE		| 0000dd6a	| 
                1681	| 0000000e	| WRITE		| 00000f2c	| 
                1691	| 0000000f	| WRITE		| 00002755	| 
                1701	| 00000010	| WRITE		| 00001f24	| 
                1711	| 00000011	| WRITE		| 00009b65	| 
                1721	| 00000012	| WRITE		| 0000ee64	| 
                1731	| 00000013	| WRITE		| 00009936	| 
                1751	| 00000004	| WRITE		| 0000752d	| 
                1821	| 00000001	| WRITE		| 00000000	| 
